Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Máy tính để bàn - PC HP Pavilion 590-p0033d 4LY11AA (i3-8100/4GB/1TB HDD/UHD 630/Win10),None,LIÊN HỆ,https://lh3.googleusercontent.com/bf6UIVCkodQZqxhOnWtaNw2rkYSrKXplAaeONW3j-njrhVlm-eNcWrTPofm32wBdJzSjuLrC75ykdD-_Z1cf=w500-rw
Máy tính để bàn - PC Acer Aspire XC-885 DT.BAQSV.006 (G5400/4GB/1TB HDD/UHD 610/Endless),7.590.000đ,7.290.000đ,https://lh3.googleusercontent.com/Aa5mTpR2MnskLKnRAEoF9RVl6WlnjgV53kogodgv-pnncPFr50mtFPA0Lc1d5eSHrFeW3pT_GFH-HHeGW__9=w500-rw
Máy tính để bàn - PC HP 280 G4 MT 4LW12PA (i5-8400/4GB/500GB/GeForce GT 730/Free DOS),12.590.000đ,12.090.000đ,https://lh3.googleusercontent.com/pG3UofKJsOFKFe98huDSzvpTeFgMJb9nj6gLrsu7Bw8P2mrKIIxH2Vlo9uMhWsr3RMuL_qpbATkA5qd4TCY=w500-rw
Máy tính để bàn - PC HP Pavilion 590-p0108d 6DV41AA (i3-9100/4GB/1TB HDD/UHD 630/Win10),None,9.690.000đ,https://lh3.googleusercontent.com/W4obIunIgRTvE6UV8LVENmz6DO_VT6JRYyccN1T0b_5gXqP8IXcPwIb_B0CQVumr8dKvMS56AH0Qop9D25uD=w500-rw
PC HP 290 p0112d 6DV53AA(Intel Pentium G5420/4GB/1TBHDD/Windows 10 Home SL 64-bit/DVD/CD RW/WiFi 802.11ac),7.890.000đ,7.690.000đ,https://lh3.googleusercontent.com/2huErsyHu4YUQQzsmwntlp4SAuu6_d4yulTVjKH4Sy1upjlVsCJuFjAU0vnlcI7ZyE9mzkpbPYGBNFBUnb0=w500-rw
Máy tính để bàn - PC Acer Aspire C22-865 AIO DQ.BBRSV.004 (21.5" FHD/i3-8130U/4GB/128GB SSD/1TB HDD/UHD 620/Win10),14.990.000đ,13.925.000đ,https://lh3.googleusercontent.com/8-rzi3EyUCPEKOq4TqmDnriKsvXBBplmoOESPP1dd_1j2b01m2edvnQNCQzcsc5qm6JOI-B5qluEbH9IZg=w500-rw
PC Acer Aspire XC-885 DT.BAQSV.031 (i5-9400/4GB/1TB HDD/UHD 630/Win10),12.999.000đ,11.827.000đ,https://lh3.googleusercontent.com/jtwCezoS4fdBXdX2ordqnWehk7XOP1FTWtItUdYQhcKNq0rrU-IOo4ZrhhSHFHhrS-e1EE5WMxpmAYgYd28=w500-rw
PC Dell Vostro 3671 MT 70205616 (i3-9100/4GB/1TB HDD/UHD 630/Win10),9.290.000đ,8.390.000đ,https://lh3.googleusercontent.com/smHIiFT67viS6N9UyalCNpaGlfkeCU9rq6Ibr_RuZzY4qYsjh1TSZTxrbug9kdB1RI4RWYp3FyJfBRW80Kw=w500-rw
PC Acer Aspire XC-886 (DT.BDDSV.005) (Pentium G5420/4GB/1TB HDD/UHD 610/Endless),8.299.000đ,7.999.000đ,https://lh3.googleusercontent.com/6C9MKKl2hmzojyxyRkOcqS2w7VsUvzZdULqRrR23zwVJU1pBDstPc3Ue_rJxKTQ_YQAA5w7ApVShPnBJfHU=w500-rw
PC HP S01-pF0101d (7XE20AA) (i3-9100/4GB/1TB HDD/UHD 630/Win10),None,9.190.000đ,https://lh3.googleusercontent.com/OA06iqHY7zjpcMjLAk_h4im56vtqESlptx4qz73FNp4zl7OkijxU2wh11-eXDOGxh2slcK8zvx7z_H8c10Q=w500-rw
PC Lenovo V530-15ICR (11BHS08100) (i5-9400/8GB/1TB HDD/UHD 630/Free DOS),None,11.890.000đ,https://lh3.googleusercontent.com/NfS5ipI2PM6wEGlNIDpzZJtiO4FMNc1P-yOcXjbi-mv1_zGPWfta6XiLrZvnhr9JFcnrUp0Rr9igtGzoWQ=w500-rw
